PHA_NAME,MR_INSPECTION_DATE,MR_INSPECTION_COST,SECOND_MR_INSPECTION_DATE,SECOND_MR_INSPECTION_COST,CHANGE_IN_COST,PERCENT_CHANGE_IN_COST
Akron Metropolitan Housing Autho,10/9/2014,25593,10/8/2014,15626,9967,63.7847
Alachua County,1/22/2015,37345,5/1/2014,17019,20326,119.4312
Alaska Housing Finance Corporati,11/14/2014,26342,11/13/2014,21366,4976,23.2893
Albany Housing Authority,1/12/2015,31115,1/9/2015,30247,868,2.8697
Alexandria Redevelopment & Housi,5/9/2014,29123,4/18/2014,14767,14356,97.2168
ALLEGHENY COUNTY HOUSING AUTHORI,2/2/2015,37108,1/30/2015,36497,611,1.6741
ANNISTON HA,12/30/2014,31506,8/21/2014,10785,20721,192.128
ASHTABULA METROPOLITAN HOUSING A,6/3/2014,37948,4/24/2014,13920,24028,172.6149
Athens Metropolitan Housing Auth,5/22/2014,21816,5/21/2014,10996,10820,98.3994
Aurora Housing Authority,2/2/2015,14683,6/24/2014,12831,1852,14.4338
Aurora Housing Authority ofthe C,7/3/2014,14908,6/11/2013,14570,338,2.3198
Austin Housing Authority,6/30/2014,36672,6/26/2014,25920,10752,41.4815
Barre Housing Authority,6/18/2014,19254,6/16/2014,16757,2497,14.9012
Batavia Housing Authority,1/28/2015,26365,12/30/2014,14576,11789,80.8795
Battle Creek Housing Commission,1/29/2015,34258,1/27/2015,15344,18914,123.2664
Bayonne Housing Authority,9/12/2014,26407,9/11/2014,16280,10127,62.2052
Beloit Housing Authority,4/30/2014,35276,5/14/2013,14461,20815,143.9389
Bergen County Housing Authority,6/30/2014,20972,5/28/2014,12018,8954,74.5049
Binghamton Housing Authority,10/6/2014,29731,8/26/2013,11087,18644,168.1609
Bloomfield Housing Authority,1/27/2015,39447,4/21/2014,30705,8742,28.4709
BLUE EARTH COUNTY EDA,1/15/2015,37189,1/14/2015,18784,18405,97.9823
BOAZ HOUSING AUTHORITY,4/7/2014,22334,4/3/2014,12740,9594,75.3061
Boulder Housing Partners,5/8/2014,19869,5/7/2014,19550,319,1.6317
Bristol Housing Authority,10/7/2014,39542,9/26/2014,27324,12218,44.7153
Brockton Housing Authority,5/20/2014,36225,5/8/2014,35206,1019,2.8944
Brownsville Housing Authority,12/8/2014,35468,10/6/2014,29245,6223,21.2789
Bureau County Housing Authority,8/21/2014,37026,6/9/2014,16452,20574,125.0547
Cambridge Housing Authority,7/30/2014,34753,7/29/2014,21137,13616,64.4178
Central Falls Housing Authority,1/15/2015,35783,12/29/2014,14766,21017,142.3337
Charleston/Kanawha Housing Autho,6/12/2014,33663,6/11/2014,33298,365,1.0962
Charlottesville Redev & Housing,7/11/2014,17298,7/19/2013,16235,1063,6.5476
Chicago Housing Authority,1/30/2015,26460,1/21/2015,16612,9848,59.2824
Chillicothe Metropolitan Housing,5/27/2014,35637,4/16/2014,21573,14064,65.1926
CINCINNATI METROPOLITAN HOUSING,12/2/2014,26027,12/1/2014,21385,4642,21.7068
City of Phoenix Housing Departme,10/6/2014,24881,9/30/2014,16317,8564,52.4851
CITY OF RENO HOUSING AUTHORITY,10/7/2014,28611,10/6/2014,12177,16434,134.9593
City of Richmond Housing Authori,10/9/2014,26020,10/3/2014,21552,4468,20.7313
Columbus Housing Authority,1/29/2015,36252,12/19/2014,17555,18697,106.5053
Columbus Metropolitan Housing Au,2/2/2015,28892,4/30/2014,10405,18487,177.6742
Concord Housing Authority,12/15/2014,24019,10/7/2014,14915,9104,61.0392
Corpus Christi Housing Authority,12/17/2014,38669,12/16/2014,10185,28484,279.6662
COUNTY OF MONTEREY HSG AUTH,9/5/2014,37768,8/27/2014,28921,8847,30.5902
Crestview Housing Authority,5/5/2014,12825,5/14/2013,10153,2672,26.3173
Danville Redevelopment & Housing,3/24/2014,39337,2/6/2014,18241,21096,115.6516
DAYTON METROPOLITAN HOUSING AUTH,12/1/2014,39748,10/3/2014,27126,12622,46.531
Decatur Housing Authority,6/16/2014,33234,6/12/2014,23278,9956,42.77
Delaware State Housing Authority,10/21/2014,37696,10/20/2014,33602,4094,12.1838
Des Moines Municipal Housing Age,7/17/2014,39273,7/11/2014,14100,25173,178.5319
Dunkirk Housing Authority,8/28/2013,31228,8/26/2013,13561,17667,130.278
East Orange Housing Authority,3/26/2014,12240,3/25/2014,10233,2007,19.613
Eastern Regional Housing Authori,11/22/2013,34905,11/18/2013,25738,9167,35.6166
Edison Housing Authority,7/30/2013,37351,7/24/2013,10103,27248,269.7021
Elizabeth Housing Authority,9/19/2014,35542,8/22/2014,17693,17849,100.8817
ERIE METROPOLITAN HOUSING AUTHOR,7/30/2013,36715,7/29/2013,26114,10601,40.5951
Fairfax County Redevelopment & H,2/2/2015,25722,1/15/2014,13585,12137,89.3412
Fall River Housing Authority,10/30/2014,35573,10/28/2014,18317,17256,94.2076
Falls City Housing Authority,4/18/2014,31980,7/31/2013,20628,11352,55.032
Fargo Housing  and Redevelopment,3/25/2014,36877,3/24/2014,15826,21051,133.0153
FAYETTE COUNTY HOUSING AUTHORITY,10/9/2014,21804,10/7/2014,15555,6249,40.1736
Fayetteville Metropolitan Housin,1/29/2015,36300,1/28/2015,14237,22063,154.9694
Frederick Housing Authority,7/8/2014,17707,7/7/2014,14094,3613,25.635
Fremont Housing Authority,6/20/2014,25557,9/17/2013,19851,5706,28.7441
Fulton County Housing Authority,10/6/2014,20488,10/2/2014,11502,8986,78.1255
Gainesville Housing Authority,7/9/2014,29976,7/8/2014,13878,16098,115.9965
Garfield Housing Authority,5/7/2014,29670,5/6/2014,23383,6287,26.8871
Gastonia Housing Authority,1/15/2015,30348,2/26/2014,27114,3234,11.9274
Gordon Housing Authority,5/15/2014,21012,5/23/2013,19226,1786,9.2895
Granite City Housing Authority,1/27/2015,33935,1/26/2015,32190,1745,5.4209
GREENE METROPOLITAN HOUSING AUTH,7/1/2014,38583,6/30/2014,24365,14218,58.3542
Grtr Metro. Area Hsng Auth of Ro,10/6/2014,23025,7/9/2014,20398,2627,12.8787
Guam Housing & Urban Renewal Aut,2/25/2014,24702,2/23/2014,14499,10203,70.3704
HA BESSEMER,10/8/2014,36868,10/6/2014,30343,6525,21.5041
HA City of Everett,6/11/2014,36090,5/13/2014,12424,23666,190.4862
HA City of Pasco and Franklin Co,4/16/2014,36386,4/15/2014,34912,1474,4.222
HA City of Spokane,5/30/2014,34554,5/29/2014,20825,13729,65.9256
HA NORTHPORT,10/1/2014,14302,5/7/2014,13794,508,3.6828
HA Of Grays Harbor County,6/9/2014,15681,6/5/2014,15039,642,4.2689
HA Of Pierce County,6/17/2014,31576,3/31/2014,15088,16488,109.2789
HA TROY,8/5/2014,39158,5/6/2014,14428,24730,171.4028
Haleyville Housing Authority,7/1/2014,32067,5/30/2014,19510,12557,64.3619
Harlingen Housing Authority,6/6/2014,25025,6/5/2014,20327,4698,23.1121
Helena Housing Authority,8/21/2014,11714,4/21/2014,11624,90,0.7743
Hoboken Housing Authority,1/21/2015,26320,1/15/2015,17645,8675,49.1641
Hocking Metropolitan Housing Aut,5/6/2014,36146,5/5/2014,32159,3987,12.3978
Hot Springs Housing Authority,9/22/2014,19103,8/12/2013,16026,3077,19.2
Housing & Redevelopment Authorit,12/17/2014,32371,12/16/2014,28159,4212,14.9579
Housing and Community Developmen,10/1/2014,24955,8/7/2013,19739,5216,26.4248
HOUSING AUTH CO OF LAWRENCE,5/6/2014,25531,5/5/2014,15115,10416,68.9117
Housing Authority City of Jersey,10/23/2014,33923,10/21/2014,22369,11554,51.6518
Housing Authority City of Orange,12/30/2014,39479,11/24/2014,31010,8469,27.3105
Housing Authority of Belton,10/21/2013,24470,9/10/2013,11277,13193,116.9903
