INSPECTION_ID,PUBLIC_HOUSING_AGENCY_NAME,COST_OF_INSPECTION_IN_DOLLARS,INSPECTED_DEVELOPMENT_NAME,INSPECTED_DEVELOPMENT_ADDRESS,INSPECTED_DEVELOPMENT_CITY,INSPECTED_DEVELOPMENT_STATE,INSPECTION_DATE,INSPECTION_SCORE
536466,Abbotsford Housing Authority,27217,GREEN VISTA,310 E Pine St,Abbotsford,WI,12/10/2014,93
523155,Abingdon Redevelopment and Housi,37068,Kings Mountian,300 Green Spring Rd,Abingdon,VA,5/22/2014,67
510372,Ada County Housing Authority,16133,ADA COUNTY HA,Scattered Sites,BOISE,ID,7/24/2013,97
510593,ADAMS METROPOLITAN HOUSING AUTHO,32874,ADAMS APARTMENTS,50 E 8th Ave,Peebles,OH,1/27/2014,72
510527,ADAMS METROPOLITAN HOUSING AUTHO,24047,ADAMS APARTMENTS,401 E 7th St,Manchester,OH,1/28/2014,84
523658,Afton Housing Commission,25288,FAIRVIEW,611 E Polk St,Afton,IA,5/6/2014,91
510747,Agra Housing Authority,25313,CITY PARK MANOR,555 Southern Ave,Agra,KS,12/10/2013,99
528260,Ahoskie Housing Authority,19081,Ahoskie Housing Un,200 Pierce Ave,Ahoskie,NC,9/9/2014,89
536159,Ainsworth Housing Authority,35188,AINSWORTH PARK HOM,524 E 4th St,Ainsworth,NE,11/25/2014,89
507224,Akron Metropolitan Housing Autho,23866,Edgewood Village 5,491 Vernon Odom Blvd,Akron,OH,6/21/2013,98
506617,Akron Metropolitan Housing Autho,22802,Joy Park,524 Fuller St,Akron,OH,7/17/2013,96
507144,Akron Metropolitan Housing Autho,30030,Valley View,943 Springdale Dr,Akron,OH,7/18/2013,91
507330,Akron Metropolitan Housing Autho,38177,Cascade Village So,104 E North St,Akron,OH,8/12/2013,88
507134,Akron Metropolitan Housing Autho,38119,Scattered Sites,100 W Cedar St,Akron,OH,8/19/2013,83
527588,Akron Metropolitan Housing Autho,17218,Edgewood Village I,491 Vernon Odom Blvd,Akron,OH,7/28/2014,98
527189,Akron Metropolitan Housing Autho,11493,Edgewood Village 4,491 Vernon Odom Blvd,Akron,OH,7/29/2014,96
528363,Akron Metropolitan Housing Autho,18950,RAY C SUTLIFF APTS,1850 2nd St,Cuyahoga Falls,OH,8/1/2014,99
527413,Akron Metropolitan Housing Autho,25943,Edgewood Village S,419 W Bartges St,Akron,OH,8/4/2014,99
528231,Akron Metropolitan Housing Autho,22940,Dorothy Jackson/Ro,9 Plato Ln,Akron,OH,8/5/2014,99
527459,Akron Metropolitan Housing Autho,26417,JAMES E. ALPETER,130 5th St SE,Barberton,OH,8/6/2014,99
527183,Akron Metropolitan Housing Autho,11472,STEPHANIE KEYS BUI,4133 Fishcreek Rd,Stow,OH,8/8/2014,99
527732,Akron Metropolitan Housing Autho,22730,Cascade Village Ea,291 E North St,Akron,OH,8/25/2014,94
527288,Akron Metropolitan Housing Autho,20772,Cascade Village No,214 E Lods St,Akron,OH,8/26/2014,89
528075,Akron Metropolitan Housing Autho,22289,Mohawk,100 W 100 CEDAR ST Street,AKRON,OH,8/27/2014,97
527427,Akron Metropolitan Housing Autho,11882,BUCHTEL/COTTER,770 E Buchtel Ave,Akron,OH,8/29/2014,99
528221,Akron Metropolitan Housing Autho,27095,WILLIAM FOWLER SR,65 Byers Ave,Akron,OH,9/22/2014,95
528103,Akron Metropolitan Housing Autho,36279,FRED W NIMMER PLAC,1600 Brittain Rd,Akron,OH,9/23/2014,97
528482,Akron Metropolitan Housing Autho,35447,Bon Sue,100 W 100 CEDAR ST Street,AKRON,OH,9/24/2014,96
528361,Akron Metropolitan Housing Autho,13871,MAPLEWOOD GARDENS,500 Hardman Dr,Cuyahoga Falls,OH,9/25/2014,83
527870,Akron Metropolitan Housing Autho,15079,COLONIAL HILLS,27 Colonial Hills Dr,Akron,OH,9/26/2014,96
528204,Akron Metropolitan Housing Autho,24450,CRIMSON TERRACE,408 Herms Ct,Barberton,OH,9/29/2014,91
527727,Akron Metropolitan Housing Autho,38714,HONEY LOCUST GARDE,3299 Prange Dr,Cuyahoga Falls,OH,10/3/2014,99
527946,Akron Metropolitan Housing Autho,21776,VAN BUREN HOMES,244  244 LAMBERTON AVE Avenue,BARBERTON,OH,10/6/2014,97
527990,Akron Metropolitan Housing Autho,31822,PINEWOOD GARDENS,8788 Ray Ct,Twinsburg,OH,10/7/2014,97
528109,Akron Metropolitan Housing Autho,15626,Willow Run,525 Fuller St,Akron,OH,10/8/2014,99
527547,Akron Metropolitan Housing Autho,25593,SAFERSTEIN TOWERS,585 Diagonal Rd,Akron,OH,10/9/2014,96
505375,Alachua County,39653,SCATTERED SITES 00,703 N.E. 1st Strert,GAINESVILLE,FL,5/16/2013,70
522522,Alachua County,17019,SCATTERED SITES 00,240 SW 1st St,Gainesville,FL,5/1/2014,78
538799,Alachua County,37345,SCATTERED SITES 00,703 NE 1st St,Gainesville,FL,1/22/2015,86
507108,ALAMEDA COUNTY HSG AUTH,29550,Nidus and Dyer,4125 Dyer St,Union City,CA,6/24/2013,85
536375,Alamo Housing Authority,25824,Macario Villarreal,823 N 8th St,Alamo,TX,12/8/2014,84
536383,Alamo Housing Authority,12713,Rudy Villarreal Oa,309 N 9th St,Alamo,TX,12/9/2014,93
524157,Alaska Housing Finance Corporati,30495,FAIRBANKS,1441 22nd Ave,Fairbanks,AK,5/15/2014,68
524137,Alaska Housing Finance Corporati,22399,Anchorage Central,1281 E 19th Ave,Anchorage,AK,5/22/2014,59
524154,Alaska Housing Finance Corporati,30264,Cordova,  ,Cordova,AK,5/23/2014,85
524138,Alaska Housing Finance Corporati,19796,KETCHIKAN,130 Bryant St,Ketchikan,AK,5/27/2014,91
524141,Alaska Housing Finance Corporati,34784,Nome,  ,Nome,AK,5/28/2014,71
524139,Alaska Housing Finance Corporati,38302,Bethel,  ,Bethel,AK,5/29/2014,62
524151,Alaska Housing Finance Corporati,31130,ANCHORAGE SOUTH,624 W 801 Karluk Ave Road,Anchorage,AK,6/5/2014,73
535124,Alaska Housing Finance Corporati,15033,Kodiak,1010 Hillside Dr Apt A,Kodiak,AK,9/22/2014,93
535119,Alaska Housing Finance Corporati,30965,Valdez,104 BREMNER ST,VALDEZ,AK,9/23/2014,95
535117,Alaska Housing Finance Corporati,27891,Nome,  ,NOME,AK,9/24/2014,82
535136,Alaska Housing Finance Corporati,31650,Wasilla,1201 S Century Cir,Wasilla,AK,9/25/2014,95
535135,Alaska Housing Finance Corporati,23592,JUNEAU,3414 Foster Ave,Juneau,AK,9/26/2014,87
535112,Alaska Housing Finance Corporati,25034,SITKA,405 De Armond St,Sitka,AK,9/29/2014,97
535127,Alaska Housing Finance Corporati,20080,Wrangell,720 Zimovia Hwy,WRANGELL,AK,9/30/2014,94
